currency_from,currency_to,exchange_rate
DKK,PKR,28.23032
DKK,PLN,0.647491
DKK,PYG,924.362913
DKK,QAR,0.490474
DKK,RON,0.663986
DKK,RSD,15.768172
DKK,RUB,7.850068
DKK,RWF,138.921431
DKK,SAR,0.505679
DKK,SBD,1.099208
DKK,SCR,1.764134
DKK,SDG,61.493724
DKK,SEK,1.424373
DKK,SGD,0.189008
DKK,SHP,0.185546
DKK,SLL,1774.096029
DKK,SOS,78.736264
DKK,SRD,3.028693
DKK,STD,2788.17058
DKK,SVC,1.178795
DKK,SYP,338.456231
DKK,SZL,2.308748
DKK,THB,4.926047
DKK,TJS,1.390962
DKK,TMT,0.472823
DKK,TND,0.412676
DKK,TOP,0.318368
DKK,TRY,2.353216
DKK,TTD,0.912289
DKK,TWD,4.03229
DKK,TZS,314.137585
DKK,UAH,3.977319
DKK,UGX,507.22066
DKK,USD,0.134707
DKK,UYU,5.526836
DKK,UZS,1473.123916
DKK,VND,3154.846599
DKK,VUV,16.016171
DKK,WST,0.366535
DKK,XAF,88.229897
DKK,XAG,0.007301
DKK,XAU,7.8696393e-05
DKK,XCD,0.364053
DKK,XDR,0.102695
DKK,XOF,88.226814
DKK,XPF,15.24216
DKK,YER,33.710485
DKK,ZAR,2.308453
DKK,ZMK,1212.528389
DKK,ZMW,2.210734
DKK,ZWL,43.375718
EUR,AED,3.682393
EUR,AFN,88.22076
EUR,ALL,117.368406
EUR,AMD,413.674413
EUR,ANG,1.806959
EUR,AOA,433.71162
EUR,ARS,128.337978
EUR,AUD,1.484233
EUR,AWG,1.80205
EUR,AZN,1.704095
EUR,BAM,1.957756
EUR,BBD,2.024362
EUR,BDT,94.195807
EUR,BGN,1.955877
EUR,BHD,0.377934
EUR,BIF,2064.092924
EUR,BMD,1.002531
EUR,BND,1.407548
EUR,BOB,6.903002
EUR,BRL,5.43803
EUR,BSD,1.002621
EUR,BTC,4.8750627e-05
EUR,BTN,80.030034
EUR,BWP,12.829399
EUR,BYN,2.530653
EUR,BYR,19649.615279
EUR,BZD,2.020959
EUR,CAD,1.314369
EUR,CDF,2007.57164
EUR,CHF,0.985693
EUR,CLF,0.036672
EUR,CLP,1011.894769
EUR,CNY,6.773303
EUR,COP,4503.371012
EUR,CRC,687.320251
EUR,CUC,1.002531
EUR,CUP,26.567082
EUR,CVE,110.374699
EUR,CZK,24.459664
EUR,DJF,178.169986
EUR,DKK,7.442291
EUR,DOP,54.743319
EUR,DZD,147.51509
EUR,EGP,18.925688
EUR,ERN,15.037971
EUR,ETB,52.324504
EUR,EUR,1
EUR,FJD,2.233838
EUR,FKP,0.844469
EUR,GBP,0.846803
EUR,GEL,2.947579
EUR,GGP,0.844469
EUR,GHS,8.145996
EUR,GIP,0.844469
EUR,GMD,54.226926
EUR,GNF,8700.947662
EUR,GTQ,7.760284
EUR,GYD,209.765804
EUR,HKD,7.869656
EUR,HNL,24.649359
EUR,HRK,7.514173
EUR,HTG,116.181526
EUR,HUF,406.671849
EUR,IDR,15083.686308
EUR,ILS,3.507988
EUR,IMP,0.844469
EUR,INR,80.080754
EUR,IQD,1463.335461
EUR,IRR,42457.20475
EUR,ISK,139.101454
EUR,JEP,0.844469
EUR,JMD,152.197579
EUR,JOD,0.710792
EUR,JPY,139.322289
EUR,KES,118.500878
EUR,KGS,81.308154
EUR,KHR,4093.711559
EUR,KMF,465.801157
EUR,KPW,902.278244
EUR,KRW,1320.188464
EUR,KWD,0.308876
EUR,KYD,0.83556
EUR,KZT,481.000049
EUR,LAK,15068.802596
EUR,LBP,1516.159806
EUR,LKR,361.931951
EUR,LRD,152.88718
EUR,LSL,15.879771
EUR,LTL,2.960215
EUR,LVL,0.606421
EUR,LYD,4.886227
EUR,MAD,10.371605
EUR,MDL,19.365136
EUR,MGA,4123.422125
EUR,MKD,61.662684
EUR,MMK,1856.344484
EUR,MNT,3152.620358
EUR,MOP,8.10654
EUR,MRO,357.903534
EUR,MUR,45.164117
EUR,MVR,15.388755
EUR,MWK,1029.120747
EUR,MXN,20.861841
EUR,MYR,4.455217
EUR,MZN,63.991715
EUR,NAD,15.880339
EUR,NGN,416.380959
EUR,NIO,35.948625
EUR,NOK,10.256599
EUR,NPR,128.047734
EUR,NZD,1.63557
EUR,OMR,0.385965
EUR,PAB,1.002621
EUR,PEN,3.966381
EUR,PGK,3.578181
EUR,PHP,56.472441
EUR,PKR,210.098246
EUR,PLN,4.818818
EUR,PYG,6879.377417
EUR,QAR,3.650247
EUR,RON,4.941574
EUR,RSD,117.351321
EUR,RUB,58.422486
EUR,RWF,1033.893657
EUR,SAR,3.763408
EUR,SBD,8.180625
EUR,SCR,13.129197
EUR,SDG,457.654162
EUR,SEK,10.600596
EUR,SGD,1.406651
EUR,SHP,1.38089
EUR,SLL,13203.338205
EUR,SOS,585.978157
EUR,SRD,22.540417
EUR,STD,20750.375707
EUR,SVC,8.772938
EUR,SYP,2518.889629
EUR,SZL,17.182377
EUR,THB,36.661071
EUR,TJS,10.351947
EUR,TMT,3.518885
EUR,TND,3.071256
EUR,TOP,2.369385
EUR,TRY,17.513318
EUR,TTD,6.789517
EUR,TWD,30.009474
EUR,TZS,2337.903199
EUR,UAH,29.600362
EUR,UGX,3774.883553
EUR,USD,1.002531
EUR,UYU,41.132316
EUR,UZS,10963.416275
EUR,VND,23479.285195
EUR,VUV,119.196997
EUR,WST,2.727858
EUR,XAF,656.632535
EUR,XAG,0.054335
EUR,XAU,0.000586
EUR,XCD,2.709392
EUR,XDR,0.764286
EUR,XOF,656.609588
EUR,XPF,113.436588
EUR,YER,250.883226
EUR,ZAR,17.180177
EUR,ZMK,9023.988634
EUR,ZMW,16.452927
EUR,ZWL,322.814699
GBP,AED,4.348582
GBP,AFN,104.180951
GBP,ALL,138.601754
GBP,AMD,488.513061
GBP,ANG,2.133859
GBP,AOA,512.175239
GBP,ARS,151.555853
GBP,AUD,1.752748
GBP,AWG,2.128063
GBP,AZN,2.012386
GBP,BAM,2.311938
GBP,BBD,2.390594
GBP,BDT,111.236956
GBP,BGN,2.309719
GBP,BHD,0.446307
